time,open,high,low,close,vol,amt,oi,code
2017-08-21,27228.030903008555,27316.798662961854,27115.591740401043,27204.35950035434,12544.0,1443187200.0,4238.0,CY1801
2017-08-22,27228.030903008555,27334.552214952513,27204.35950035434,27316.798662961854,6891.0,794015475.0,3758.0,CY1801
2017-08-23,27316.798662961854,27405.56642291515,27275.37370831698,27304.962961634745,4539.0,524027550.0,3479.0,CY1801
2017-08-24,27304.962961634745,27364.141468270278,27233.948753672106,27281.291558980534,2255.0,260057875.0,3210.0,CY1801
2017-08-25,27269.455857653425,27334.552214952513,27257.62015632632,27281.291558980534,1506.0,173641800.0,2915.0,CY1801
2017-08-28,27287.209409644085,27340.470065616064,27222.113052345,27310.8808122983,1957.0,225642100.0,2842.0,CY1801
2017-08-29,27340.470065616064,27381.895020260938,27263.538006989875,27281.291558980534,1286.0,148404400.0,2676.0,CY1801
2017-08-30,27251.702305662766,27322.716513625404,27228.030903008555,27245.784454999215,921.0,106099200.0,2657.0,CY1801
2017-08-31,27257.62015632632,27316.798662961854,27245.784454999215,27251.702305662766,892.0,102803000.0,2454.0,CY1801
2017-09-01,27245.784454999215,27334.552214952513,27245.784454999215,27257.62015632632,1093.0,125995575.0,2396.0,CY1801
2017-09-04,27287.209409644085,27991.433638606926,27269.455857653425,27695.54110542926,7210.0,842668750.0,3114.0,CY1801
2017-09-05,27725.13035874703,27902.665878653625,27577.184092158197,27807.980268036772,2997.0,350574075.0,2983.0,CY1801
2017-09-06,27855.3230733452,27914.501579980733,27612.691196139516,27630.444748130176,3039.0,356094825.0,2881.0,CY1801
2017-09-07,27654.11615078439,27707.37680675637,27476.58063087779,27571.266241494643,2037.0,237463275.0,2635.0,CY1801
2017-09-08,27606.773345475962,27624.52689746662,27245.784454999215,27316.798662961854,2762.0,319632450.0,2190.0,CY1801
2017-09-11,27346.38791627962,28494.45094500895,26665.835089970995,27470.66278021424,7947.0,923838750.0,2012.0,CY1801
2017-09-12,27417.402124242257,27565.34839083109,27375.977169597387,27488.4163322049,1089.0,126487350.0,1938.0,CY1801
2017-09-13,27446.991377560025,27559.430540167537,27281.291558980534,27405.56642291515,1509.0,174855375.0,1790.0,CY1801
2017-09-14,27370.059318933832,27470.66278021424,27316.798662961854,27322.716513625404,716.0,82823300.0,1741.0,CY1801
2017-09-15,27310.8808122983,27364.141468270278,27245.784454999215,27281.291558980534,749.0,86397150.0,1695.0,CY1801
2017-09-18,27257.62015632632,27334.552214952513,27080.08463641972,27316.798662961854,952.0,109694200.0,1519.0,CY1801
2017-09-19,27411.484273578706,27458.82707888713,27263.538006989875,27334.552214952513,981.0,113305500.0,1337.0,CY1801
2017-09-20,27322.716513625404,27683.705404102155,27304.962961634745,27677.7875534386,1671.0,194337300.0,1167.0,CY1801
2017-09-21,27683.705404102155,27683.705404102155,27470.66278021424,27470.66278021424,713.0,83028850.0,1017.0,CY1801
2017-09-22,27500.252033532004,27553.512689503983,27370.059318933832,27405.56642291515,940.0,109016500.0,976.0,CY1801
2017-09-25,27393.730721588046,27512.08773485911,27381.895020260938,27500.252033532004,487.0,56492000.0,940.0,CY1801
2017-09-26,27523.923436186218,27660.03400144794,27464.744929550685,27600.85549481241,754.0,87822150.0,976.0,CY1801
2017-09-27,27577.184092158197,27589.019793485302,27322.716513625404,27346.38791627962,889.0,102968425.0,955.0,CY1801
2017-09-28,27316.798662961854,27393.730721588046,27056.41323376551,27103.756039073935,964.0,110932300.0,1040.0,CY1801
2017-09-29,27038.65968177485,27233.948753672106,27038.65968177485,27127.42744172815,536.0,61519400.0,924.0,CY1801
2017-10-09,27287.209409644085,27287.209409644085,27056.41323376551,27174.770247036573,291.0,33348600.0,910.0,CY1801
2017-10-10,27198.441649690787,27216.195201681447,27127.42744172815,27145.180993718808,329.0,37752750.0,898.0,CY1801
