time,open,high,low,close,vol,amt,oi,code
2019-08-13,11216.247441359186,11445.618554679417,11210.51316352618,11302.261608854273,9478.0,934056900.0,8932.0,NR2002
2019-08-14,11285.058775355255,11720.86389066369,11221.981719192192,11462.821388178432,18558.0,1849304700.0,11507.0,NR2002
2019-08-15,11394.010054182365,11445.618554679417,11296.527331021267,11313.730164520284,6098.0,604006900.0,11523.0,NR2002
2019-08-16,11307.995886687278,11399.74433201537,11273.590219689244,11325.198720186296,5077.0,501607600.0,11352.0,NR2002
2019-08-19,11336.667275852307,11560.30411133953,11336.667275852307,11502.961333009473,6610.0,660669500.0,12748.0,NR2002
2019-08-20,11502.961333009473,11508.695610842478,11405.478609848376,11439.884276846411,2545.0,254118250.0,12504.0,NR2002
2019-08-21,11422.681443347394,11439.884276846411,11279.32449752225,11342.401553685313,4546.0,448917500.0,11878.0,NR2002
2019-08-22,11342.401553685313,11382.541498516353,11256.387386190227,11365.338665017336,1828.0,180515000.0,11574.0,NR2002
2019-08-23,11307.995886687278,11359.60438718433,11216.247441359186,11256.387386190227,3156.0,309919200.0,10851.0,NR2002
2019-08-26,11285.058775355255,11399.74433201537,11124.498996031096,11371.072942850342,5260.0,516795000.0,10781.0,NR2002
2019-08-27,11371.072942850342,11445.618554679417,11307.995886687278,11353.870109351325,2362.0,234192300.0,10983.0,NR2002
2019-08-28,11388.27577634936,11577.506944838547,11307.995886687278,11434.149999013405,7170.0,717000000.0,12287.0,NR2002
2019-08-29,11428.4157211804,11502.961333009473,11359.60438718433,11399.74433201537,2039.0,203186350.0,12453.0,NR2002
2019-08-30,11382.541498516353,11560.30411133953,11382.541498516353,11543.101277840513,3655.0,365865500.0,12369.0,NR2002
2019-09-02,11560.30411133953,11692.192501498661,11468.555666011438,11520.16416650849,6053.0,609839750.0,12059.0,NR2002
2019-09-03,11497.227055176467,11623.381167502594,11480.02422167745,11623.381167502594,2567.0,258496900.0,12248.0,NR2002
2019-09-04,11594.709778337565,12013.312060146982,11353.870109351325,11921.563614818891,9723.0,1000496700.0,13091.0,NR2002
2019-09-05,11933.032170484901,11990.374948814959,11709.395334997678,11824.080891657793,3706.0,383385700.0,13305.0,NR2002
2019-09-06,11841.28372515681,11927.297892651897,11652.052556667622,11686.458223665657,5078.0,523034000.0,13308.0,NR2002
2019-09-09,11692.192501498661,11812.612335991782,11600.44405617057,11772.472391160742,2301.0,235277250.0,13502.0,NR2002
2019-09-10,11789.675224659759,11829.8151694908,11646.318278834617,11778.206668993747,2282.0,233562700.0,13418.0,NR2002
2019-09-11,11766.738113327736,11778.206668993747,11646.318278834617,11720.86389066369,2402.0,245364300.0,13518.0,NR2002
2019-09-12,11686.458223665657,11755.269557661724,11606.178334003576,11634.849723168605,2057.0,209299750.0,13520.0,NR2002
2019-09-16,11726.598168496696,11904.360781319874,11697.926779331667,11761.00383549473,2501.0,256977750.0,13375.0,NR2002
2019-09-17,11783.940946826753,11944.500726150913,11709.395334997678,11761.00383549473,3081.0,317651100.0,13496.0,NR2002
2019-09-18,11755.269557661724,11766.738113327736,11525.898444341496,11634.849723168605,3659.0,372303250.0,12694.0,NR2002
2019-09-19,11634.849723168605,11692.192501498661,11560.30411133953,11588.975500504559,1438.0,145885100.0,12502.0,NR2002
2019-09-20,11554.569833506524,11606.178334003576,11497.227055176467,11583.241222671553,2253.0,226877100.0,12049.0,NR2002
2019-09-23,11583.241222671553,11772.472391160742,11566.038389172536,11709.395334997678,2767.0,281818950.0,12259.0,NR2002
2019-09-24,11709.395334997678,11743.801001995713,11583.241222671553,11583.241222671553,1076.0,109429200.0,12021.0,NR2002
2019-09-25,11588.975500504559,11611.912611836582,11468.555666011438,11497.227055176467,3397.0,341398500.0,11124.0,NR2002
2019-09-26,11462.821388178432,11537.367000007507,11365.338665017336,11365.338665017336,2783.0,277743400.0,10949.0,NR2002
2019-09-27,11365.338665017336,11388.27577634936,11124.498996031096,11221.981719192192,6451.0,631875450.0,10466.0,NR2002
2019-09-30,11221.981719192192,11325.198720186296,11170.373218695142,11176.107496528148,2118.0,207352200.0,10320.0,NR2002
2019-10-08,11153.170385196125,11296.527331021267,11009.81343937098,11101.561884699073,2740.0,265780000.0,10721.0,NR2002
2019-10-09,11084.359051200056,11227.715997025198,11084.359051200056,11204.778885693177,2545.0,248137500.0,11138.0,NR2002
2019-10-10,11216.247441359186,11330.932998019302,11124.498996031096,11307.995886687278,2643.0,258485400.0,11086.0,NR2002
2019-10-11,11296.527331021267,11313.730164520284,11216.247441359186,11307.995886687278,3352.0,329166400.0,11419.0,NR2002
2019-10-14,11290.793053188261,11457.087110345426,11233.450274858204,11439.884276846411,2792.0,276547600.0,11426.0,NR2002
2019-10-15,11439.884276846411,11439.884276846411,11250.65310835722,11262.121664023232,1659.0,163743300.0,11633.0,NR2002
2019-10-16,11256.387386190227,11376.807220683348,11227.715997025198,11262.121664023232,2164.0,213045800.0,11996.0,NR2002
2019-10-17,11296.527331021267,11411.212887681382,11250.65310835722,11290.793053188261,2152.0,212617600.0,12002.0,NR2002
2019-10-18,11296.527331021267,11548.835555673519,11296.527331021267,11445.618554679417,2995.0,298302000.0,12265.0,NR2002
